City,Policy Name,Policy Details,Classification,Confidence,Extraction Reasoning,Classification Reasoning
Geneva,Urban water access and wetland creation for cooling and retention,Increased access to water for refreshment and bathing for all Creation of wetland areas in all development projects,Environmental and Resources,high,"Urban water access and wetland creation for cooling and retention: 'Increased access to water for refreshment and bathing for all' and 'Creation of wetland areas' are specific actions to provide cooling, recreation and water retention; they address different functions (human cooling access and hydrological retention) so were extracted as an adaptation policy.","This policy centers on urban water provision and the deliberate creation of wetlands as nature-based features to improve cooling and stormwater retention, which is primarily an environmental and water-resource intervention rather than a housing, economic or governance instrument. It is treated separately because its main actions (wetland creation, water access infrastructure and ecosystem-based cooling/retention) focus on managing ecological systems and urban hydrology rather than building standards, social programs, or regulatory frameworks."
Geneva,"Permeability improvement target: 10,000 m2 per year","Gradual improvement in the permeability of public land at a level of 10,000 m2 per year",Environmental and Resources,high,"Permeability improvement target: 10,000 m2 per year: This is a quantified implementation target for increasing permeability and therefore is a distinct operational policy item worth listing separately.","This policy sets a measurable annual target to increase permeability on public land, aimed at reducing urban runoff and improving local water infiltration — objectives that align primarily with land and water resource management. It is treated as a separate policy because it specifies a quantitative, land-use-focused intervention (permeability area per year) rather than broader infrastructure, housing, or governance measures."
Geneva,"Massive increase in shaded canopy, cool corridors and cool islands","Massive increase in shaded spaces with a target of 30% of canopied areas, reaching 25% of the municipal territory by 2030 Creation of cool corridors and cool islands",Environmental and Resources,high,"Massive increase in shaded canopy, cool corridors and cool islands: These items are focused on urban cooling (canopy targets and creation of cool corridors/islands) and are distinct from other green-space measures because they set canopy coverage and cooling-network goals.","This policy focuses on expanding urban tree canopy and creating cool corridors/islands to reduce heat, improve microclimate and enhance urban ecosystems, so it targets natural resource and land-use interventions rather than building or social programs. It is treated as a separate policy because its primary actions (planting and managing green infrastructure, increasing canopy cover) and outcomes (temperature regulation, biodiversity, stormwater benefits) fall squarely under environmental and resource management rather than infrastructure construction, economic measures, or social services."
Geneva,Systematic use of low-heat-retaining materials for surfaces and walls,"Systematic use of materials that retain less heat, both at ground level and on the walls",Housing and Infrastructure,high,Systematic use of low-heat-retaining materials for surfaces and walls: This addresses material choices to reduce heat retention (a distinct technical/engineering adaptation intervention) and is not the same as planting or permeability measures.,"This policy specifically targets the thermal properties of building surfaces and ground materials to reduce heat retention and urban heat island effects, making it an intervention on physical construction and materials. It is distinct from green infrastructure, energy-efficiency, or social-support policies because its primary action is specifying material choices and surface treatments within the built environment rather than ecosystem management, energy systems, or social programs."
Geneva,Targeted reduction of heat islands in priority neighbourhoods,"Reduction of heat islands, as a priority in certain neighbourhoods, to decrease socioeconomic inequalities in response to the effects of climate change",Social and Equity,high,Targeted reduction of heat islands in priority neighbourhoods: This is a social-equity adaptation objective explicitly prioritising certain neighbourhoods and thus differs from generic greening actions by its focus on addressing socioeconomic inequalities.,"This policy is clearly aimed at addressing socioeconomic inequities by reducing urban heat exposure in priority (vulnerable) neighbourhoods, so its primary objective is social/equity-focused rather than purely environmental or infrastructural. It is distinct from more general heat‑reduction or urban greening policies because the stated goal explicitly links interventions to decreasing inequality and protecting disadvantaged communities, making equity the main criterion for action and targeting."
Geneva,Heatwave preparedness and emergency information (local heatwave plans & support),Swift and equitable access to information and emergency instructions in response to extreme climate events Enhanced mutual assistance for elderly people with “Local heatwave plans” Promotion of working conditions appropriate to periods of extreme weather,Governance and Policy,high,"Heatwave preparedness and emergency information (local heatwave plans & support): These lines describe emergency preparedness, information access, and social support mechanisms (local heatwave plans, mutual assistance, working-condition adjustments) — clearly adaptation measures focused on protecting vulnerable people during extremes.","This policy centers on emergency preparedness, information dissemination and institutional measures (local heatwave plans, coordination of mutual assistance, workplace guidance) rather than infrastructure investment or long-term social programs. It is treated as a separate policy because its primary actions are planning, communication and emergency response protocols—distinct from environmental mitigation, housing upgrades, or standalone social-welfare measures even though it does target vulnerable groups like the elderly."
Geneva,Restrictions on individual motorised transport during heatwaves,Restrictions on the use of traditional individual forms of motorised transport during heatwaves,Governance and Policy,high,Restrictions on individual motorised transport during heatwaves: This is a targeted operational restriction tied to extreme events (heatwaves) and therefore a distinct adaptation response (temporary behavior/infrastructure control during events).,"This is a temporary regulatory/emergency measure to limit individual motorised vehicle use during heatwaves to protect public health, reduce traffic-related contributions to urban heat and emissions, and manage transport demand during extreme events. It is separate from purely environmental or infrastructure policies because it prescribes behavioral and enforcement actions (restrictions) rather than changes to physical assets or long-term resource management, placing it within regulatory and emergency-response governance."
Geneva,"Conversion of car parks into green, pedestrianised and cycling areas",Conversion of car parks into green spaces and pedestrianised and/or cycling areas,Housing and Infrastructure,high,"Conversion of car parks into green, pedestrianised and cycling areas: Converting impermeable parking areas into green and pedestrianised spaces reduces heat and runoff; it is an implementation action in public space reconfiguration distinct from canopy or roof measures.","This policy primarily concerns reconfiguring urban land use and physical infrastructure—converting parking lots into green, pedestrian and cycling spaces—so it is focused on built environment and transport/ public-space design rather than purely ecological protection or social programs. It is treated as a separate policy because, unlike purely environmental measures (habitat conservation) or standalone transport policies (new transit lines), it specifically repurposes existing urban infrastructure (car parks) to enable active mobility and resilient public space."
Geneva,Fourfold increase in green roofs on municipal buildings by 2030,Fourfold increase in the surface area of green roofs on municipal buildings by 2030,Housing and Infrastructure,high,Fourfold increase in green roofs on municipal buildings by 2030: This is a specific quantitative municipal building retrofit target (green roofs) that contributes to cooling and water retention and is therefore a discrete adaptation policy.,"This policy directly mandates a physical retrofit/installation on municipal buildings (increasing rooftop surface area covered by green roofs), making it primarily an infrastructure and urban development intervention. Although it has environmental co-benefits (biodiversity, stormwater management, cooling), its explicit target and action—municipal building surfaces and retrofitting—distinguish it from broader Environmental and Resources or Economic policies."
Geneva,Restoration of urban soils and biochar soil-improvement processing,"Restoration of urban soils Creation, in cooperation with the Canton, of a central processing unit for Biochar, a compound made from organic waste that can be used as a soil improver and to sequester carbon",Environmental and Resources,high,"Restoration of urban soils and biochar soil-improvement processing: 'Restoration of urban soils' and the biochar processing unit are land/soil resilience measures (improving soil structure, water retention, carbon sequestration) and were grouped as a dedicated soil-improvement adaptation policy.","This policy targets restoration of urban soils and establishment of a biochar processing unit to convert organic waste into a soil improver and carbon sink, so its primary focus is on natural resource management (soil health, waste-to-resource, carbon sequestration). It is distinct from housing/infrastructure or governance policies because the main action is environmental restoration and resource processing rather than construction, regulation, or social service delivery, though it may have co‑benefits for urban green spaces and local economies."
Geneva,Expansion & adaptation of natural spaces and protected biodiversity areas,Expansion and protection of areas dedicated to biodiversity Adaptation of the network of natural spaces to the needs of each species and creation of a mesh of interconnected networks,Environmental and Resources,high,Expansion & adaptation of natural spaces and protected biodiversity areas: These measures focus on increasing and adapting natural habitats and networks for species resilience (ecosystem-based adaptation) and are separate from administrative or infrastructure measures.,"This policy is explicitly about conserving and expanding natural habitats and creating interconnected networks for species, so its primary aim is management and protection of ecosystems and biodiversity. It is distinct from housing/infrastructure, economic, social or governance policies because the main intervention is ecological conservation and habitat connectivity rather than construction, financing, social services, or regulatory process design."
Geneva,Biodiversity hub in the administration for monitoring and strategy,"Creation of a biodiversity hub within the administration, responsible for establishing a monitoring programme, a biodiversity strategy and concrete awareness-raising",Environmental and Resources,high,"Biodiversity hub in the administration for monitoring and strategy: The creation of an institutional hub responsible for monitoring, strategy and awareness-raising is an administrative adaptation policy distinct from on-the-ground habitat measures because it creates governance and monitoring capacity.","The policy's central goal is coordination of biodiversity monitoring, strategy and awareness — activities directly aimed at conserving ecosystems and natural resources — so it aligns with environmental/resource management rather than infrastructure, economic or social programs. It is treated as a separate policy from governance or public‑service measures because its primary actions are ecological monitoring and conservation strategy development (with outreach), not legal reform, infrastructure investment, or social welfare delivery."
