cluster_id,cluster_type,role,section_header,sector,policy_statement,parent_statement,verbatim_text,extraction_rationale,policy_type,parent_policy_name,validation_result,confidence_score,validation_reasoning,final_verdict,has_quantifiable_target,has_timeline,has_binding_mechanism,has_spatial_specificity,weak_language_detected,strong_language_detected,initiative_name,initiative_result,confidence_score_init,coverage_score,coherence_score,aggregate_measurability,has_implementation_pathway,inherited_binding_mechanism,inherited_spatial_scope,subs_strong,subs_moderate,subs_weak,final_verdict_init,initiative_reasoning,trace_type,trace_id,trace_path,sub_index,sub_action_label,sub_strength,sub_has_quantifiable_target,sub_has_timeline,sub_is_concrete_action
12,parent_with_subs,parent,"Pillar 3 | Strategy 1. Make walking, biking, or transit viable options for all trips",Transport,"Pillar 3 Strategy 1: Make walking, biking, or transit viable options for all trips with actions to expand bikeways/trails, increase shared micromobility, and reach 45% non-car mode share by 2040.",,"3 Deliver a robust zero-emission mobility network that connects communities and improves air quality | 1. Makewalking, biking, or transit viable options for all trips | A. Expand high-quality and low-stress on-street bikeways and off-street trails B. Increase Divvy bikes and shared micromobility trips30% by 2030 C. Enable Chicagoans to walk, bike, take transit, or use shared micromobility for 45%ofall trips by 2040",Named strategy with multiple lettered sub-actions including quantified targets/dates.,parent,,,,,,,,,,,,"Pillar 3 | Strategy 1. Make walking, biking, or transit viable options for all trips",PARTIAL,0.72,0.7,0.85,Yes,Yes,No,Yes,2.0,1.0,0.0,True,"This initiative targets mode shift by making walking, biking, transit, and shared micromobility viable for all trips, pairing infrastructure improvements with usage growth and an overall mode-share goal. Sub-action strength mix: 2 strong (Actions 2–3) and 1 moderate (Action 1), with the moderate item being a concrete build/expand action but missing a numeric buildout target and timeline. The parent header provides clear city context (Chicagoans; citywide implication) but does not establish a binding mechanism (no ordinance/mandate), so enforcement strength is limited to programmatic intent. Coverage is good because the pieces align to the stated objective, but it is not complete because transit improvements are not articulated and the infrastructure expansion is not scoped (e.g., miles, network coverage, or year-by-year delivery). Coherence is high because the actions form a logical chain from enabling conditions (bikeways/trails) to adoption (micromobility trips) to outcome (45% trips by 2040). Applying the initiative soundness rule: it has adequate coverage (>=0.4), strong coherence, and clear measurable targets at the cluster level, but not all SOUND conditions are met because one action lacks timeline/quantification; therefore the initiative is PARTIAL, and it is worth keeping given confidence >= 0.55.",initiative,"init:Pillar 3 | Strategy 1. Make walking, biking, or transit viable options for all trips:parent",outputs/policy_pipeline_v4/traces/initiative_parent_sub_traces.jsonl,,,,,,
12,parent_with_subs,sub,"Pillar 3 | Strategy 1. Make walking, biking, or transit viable options for all trips",Transport,Expand high-quality and low-stress on-street bikeways and off-street trails.,"Pillar 3 Strategy 1: Make walking, biking, or transit viable options for all trips with actions to expand bikeways/trails, increase shared micromobility, and reach 45% non-car mode share by 2040.",A. Expand high-quality and low-stress on-street bikeways and off-street trails,Specific intervention listed as a lettered action under a parent strategy (even though not quantified in the table row).,sub,"1. Makewalking, biking, or transit viable options for all trips",,,,,,,,,,,"Pillar 3 | Strategy 1. Make walking, biking, or transit viable options for all trips",PARTIAL,0.72,0.7,0.85,Yes,Yes,No,Yes,2.0,1.0,0.0,True,"This initiative targets mode shift by making walking, biking, transit, and shared micromobility viable for all trips, pairing infrastructure improvements with usage growth and an overall mode-share goal. Sub-action strength mix: 2 strong (Actions 2–3) and 1 moderate (Action 1), with the moderate item being a concrete build/expand action but missing a numeric buildout target and timeline. The parent header provides clear city context (Chicagoans; citywide implication) but does not establish a binding mechanism (no ordinance/mandate), so enforcement strength is limited to programmatic intent. Coverage is good because the pieces align to the stated objective, but it is not complete because transit improvements are not articulated and the infrastructure expansion is not scoped (e.g., miles, network coverage, or year-by-year delivery). Coherence is high because the actions form a logical chain from enabling conditions (bikeways/trails) to adoption (micromobility trips) to outcome (45% trips by 2040). Applying the initiative soundness rule: it has adequate coverage (>=0.4), strong coherence, and clear measurable targets at the cluster level, but not all SOUND conditions are met because one action lacks timeline/quantification; therefore the initiative is PARTIAL, and it is worth keeping given confidence >= 0.55.",initiative,"init:Pillar 3 | Strategy 1. Make walking, biking, or transit viable options for all trips:sub:1",outputs/policy_pipeline_v4/traces/initiative_parent_sub_traces.jsonl,1.0,Action 1: Expand high-quality and low-stress on-street bikeways and off-street trails.,moderate,No,No,Yes
12,parent_with_subs,sub,"Pillar 3 | Strategy 1. Make walking, biking, or transit viable options for all trips",Transport,Increase Divvy bikes and shared micromobility trips 30% by 2030.,"Pillar 3 Strategy 1: Make walking, biking, or transit viable options for all trips with actions to expand bikeways/trails, increase shared micromobility, and reach 45% non-car mode share by 2040.",B. Increase Divvy bikes and shared micromobility trips30% by 2030,Lettered action with quantified percent increase and deadline.,sub,"1. Makewalking, biking, or transit viable options for all trips",,,,,,,,,,,"Pillar 3 | Strategy 1. Make walking, biking, or transit viable options for all trips",PARTIAL,0.72,0.7,0.85,Yes,Yes,No,Yes,2.0,1.0,0.0,True,"This initiative targets mode shift by making walking, biking, transit, and shared micromobility viable for all trips, pairing infrastructure improvements with usage growth and an overall mode-share goal. Sub-action strength mix: 2 strong (Actions 2–3) and 1 moderate (Action 1), with the moderate item being a concrete build/expand action but missing a numeric buildout target and timeline. The parent header provides clear city context (Chicagoans; citywide implication) but does not establish a binding mechanism (no ordinance/mandate), so enforcement strength is limited to programmatic intent. Coverage is good because the pieces align to the stated objective, but it is not complete because transit improvements are not articulated and the infrastructure expansion is not scoped (e.g., miles, network coverage, or year-by-year delivery). Coherence is high because the actions form a logical chain from enabling conditions (bikeways/trails) to adoption (micromobility trips) to outcome (45% trips by 2040). Applying the initiative soundness rule: it has adequate coverage (>=0.4), strong coherence, and clear measurable targets at the cluster level, but not all SOUND conditions are met because one action lacks timeline/quantification; therefore the initiative is PARTIAL, and it is worth keeping given confidence >= 0.55.",initiative,"init:Pillar 3 | Strategy 1. Make walking, biking, or transit viable options for all trips:sub:2",outputs/policy_pipeline_v4/traces/initiative_parent_sub_traces.jsonl,2.0,Action 2: Increase Divvy bikes and shared micromobility trips 30% by 2030.,strong,Yes,Yes,Yes
12,parent_with_subs,sub,"Pillar 3 | Strategy 1. Make walking, biking, or transit viable options for all trips",Transport,"Enable Chicagoans to walk, bike, take transit, or use shared micromobility for 45% of all trips by 2040.","Pillar 3 Strategy 1: Make walking, biking, or transit viable options for all trips with actions to expand bikeways/trails, increase shared micromobility, and reach 45% non-car mode share by 2040.","C. Enable Chicagoans to walk, bike, take transit, or use shared micromobility for 45%ofall trips by 2040",Lettered action with quantified mode-share target and deadline.,sub,"1. Makewalking, biking, or transit viable options for all trips",,,,,,,,,,,"Pillar 3 | Strategy 1. Make walking, biking, or transit viable options for all trips",PARTIAL,0.72,0.7,0.85,Yes,Yes,No,Yes,2.0,1.0,0.0,True,"This initiative targets mode shift by making walking, biking, transit, and shared micromobility viable for all trips, pairing infrastructure improvements with usage growth and an overall mode-share goal. Sub-action strength mix: 2 strong (Actions 2–3) and 1 moderate (Action 1), with the moderate item being a concrete build/expand action but missing a numeric buildout target and timeline. The parent header provides clear city context (Chicagoans; citywide implication) but does not establish a binding mechanism (no ordinance/mandate), so enforcement strength is limited to programmatic intent. Coverage is good because the pieces align to the stated objective, but it is not complete because transit improvements are not articulated and the infrastructure expansion is not scoped (e.g., miles, network coverage, or year-by-year delivery). Coherence is high because the actions form a logical chain from enabling conditions (bikeways/trails) to adoption (micromobility trips) to outcome (45% trips by 2040). Applying the initiative soundness rule: it has adequate coverage (>=0.4), strong coherence, and clear measurable targets at the cluster level, but not all SOUND conditions are met because one action lacks timeline/quantification; therefore the initiative is PARTIAL, and it is worth keeping given confidence >= 0.55.",initiative,"init:Pillar 3 | Strategy 1. Make walking, biking, or transit viable options for all trips:sub:3",outputs/policy_pipeline_v4/traces/initiative_parent_sub_traces.jsonl,3.0,"Action 3: Enable Chicagoans to walk, bike, take transit, or use shared micromobility for 45% of all trips by 2040.",strong,Yes,Yes,Yes
13,parent_with_subs,parent,Pillar 3 | Strategy 2. Increase transit performance and encourage equitable transit-oriented development,Transport,"Pillar 3 Strategy 2: Increase transit performance and encourage equitable transit-oriented development through land use updates, commuter benefits, transportation demand management, and parking requirement updates.",,"3 Deliver a robust zero-emission mobility network that connects communities and improves air quality | 2. Increase transit performance and encourage equitable transit-oriented development | A. Update land use policies to encourage sustainable devel- opment, accessibility, and street safety by 2023 B. Expand use of commuter benefits by 2024 C. Require transportation demandmanagementplans for newdevelopment by 2025 D. Update citywide car and bike parking requirements by 2025",Named strategy with multiple lettered actions and deadlines.,parent,,,,,,,,,,,,Pillar 3 | Strategy 2. Increase transit performance and encourage equitable transit-oriented development,PARTIAL,0.6,0.75,0.85,No,Yes,No,Yes,0.0,3.0,1.0,True,"This initiative aims to improve transit performance and enable equitable transit-oriented development through four levers: land use policy updates, commuter benefits, mandatory TDM plans for new development, and reforms to parking requirements, each with a 2023–2025 deadline. Sub-action strength mix: 0 strong, 3 moderate (Actions 1, 3, 4) due to concrete policy changes with timelines, and 1 weak (Action 2) because it is not clearly a tangible deliverable and has no scale. The parent header provides a citywide framing (""Update citywide car and bike parking requirements"") and a mobility-network context, but it does not state an ordinance/regulatory authority that would make the whole package clearly binding. Coverage is high because the subs directly correspond to the parent’s listed tools, but the initiative lacks measurable outcome targets, so aggregate measurability is 'No'—progress can be tracked mainly as completion of policy updates rather than transit performance results. Coherence is strong because the actions reinforce each other (TOD-supportive land use + parking reform + demand management + commuter incentives). Applying the initiative soundness rule: it fails SOUND due to aggregate_measurability='No' and no 'strong' sub-actions, but it qualifies as PARTIAL because coverage_score>=0.4, multiple sub-actions are moderate, and deadlines exist across the cluster. Final verdict is True because the initiative is PARTIAL and confidence_score (0.6) meets the >=0.55 threshold.",initiative,init:Pillar 3 | Strategy 2. Increase transit performance and encourage equitable transit-oriented development:parent,outputs/policy_pipeline_v4/traces/initiative_parent_sub_traces.jsonl,,,,,,
13,parent_with_subs,sub,Pillar 3 | Strategy 2. Increase transit performance and encourage equitable transit-oriented development,Transport,"Update land use policies to encourage sustainable development, accessibility, and street safety by 2023.","Pillar 3 Strategy 2: Increase transit performance and encourage equitable transit-oriented development through land use updates, commuter benefits, transportation demand management, and parking requirement updates.","A. Update land use policies to encourage sustainable devel- opment, accessibility, and street safety by 2023",Lettered action with deadline.,sub,2. Increase transit performance and encourage equitable transit-oriented development,,,,,,,,,,,Pillar 3 | Strategy 2. Increase transit performance and encourage equitable transit-oriented development,PARTIAL,0.6,0.75,0.85,No,Yes,No,Yes,0.0,3.0,1.0,True,"This initiative aims to improve transit performance and enable equitable transit-oriented development through four levers: land use policy updates, commuter benefits, mandatory TDM plans for new development, and reforms to parking requirements, each with a 2023–2025 deadline. Sub-action strength mix: 0 strong, 3 moderate (Actions 1, 3, 4) due to concrete policy changes with timelines, and 1 weak (Action 2) because it is not clearly a tangible deliverable and has no scale. The parent header provides a citywide framing (""Update citywide car and bike parking requirements"") and a mobility-network context, but it does not state an ordinance/regulatory authority that would make the whole package clearly binding. Coverage is high because the subs directly correspond to the parent’s listed tools, but the initiative lacks measurable outcome targets, so aggregate measurability is 'No'—progress can be tracked mainly as completion of policy updates rather than transit performance results. Coherence is strong because the actions reinforce each other (TOD-supportive land use + parking reform + demand management + commuter incentives). Applying the initiative soundness rule: it fails SOUND due to aggregate_measurability='No' and no 'strong' sub-actions, but it qualifies as PARTIAL because coverage_score>=0.4, multiple sub-actions are moderate, and deadlines exist across the cluster. Final verdict is True because the initiative is PARTIAL and confidence_score (0.6) meets the >=0.55 threshold.",initiative,init:Pillar 3 | Strategy 2. Increase transit performance and encourage equitable transit-oriented development:sub:1,outputs/policy_pipeline_v4/traces/initiative_parent_sub_traces.jsonl,1.0,"Action 1: Update land use policies to encourage sustainable development, accessibility, and street safety by 2023.",moderate,No,Yes,Yes
13,parent_with_subs,sub,Pillar 3 | Strategy 2. Increase transit performance and encourage equitable transit-oriented development,Transport,Expand use of commuter benefits by 2024.,"Pillar 3 Strategy 2: Increase transit performance and encourage equitable transit-oriented development through land use updates, commuter benefits, transportation demand management, and parking requirement updates.",B. Expand use of commuter benefits by 2024,Lettered action with deadline.,sub,2. Increase transit performance and encourage equitable transit-oriented development,,,,,,,,,,,Pillar 3 | Strategy 2. Increase transit performance and encourage equitable transit-oriented development,PARTIAL,0.6,0.75,0.85,No,Yes,No,Yes,0.0,3.0,1.0,True,"This initiative aims to improve transit performance and enable equitable transit-oriented development through four levers: land use policy updates, commuter benefits, mandatory TDM plans for new development, and reforms to parking requirements, each with a 2023–2025 deadline. Sub-action strength mix: 0 strong, 3 moderate (Actions 1, 3, 4) due to concrete policy changes with timelines, and 1 weak (Action 2) because it is not clearly a tangible deliverable and has no scale. The parent header provides a citywide framing (""Update citywide car and bike parking requirements"") and a mobility-network context, but it does not state an ordinance/regulatory authority that would make the whole package clearly binding. Coverage is high because the subs directly correspond to the parent’s listed tools, but the initiative lacks measurable outcome targets, so aggregate measurability is 'No'—progress can be tracked mainly as completion of policy updates rather than transit performance results. Coherence is strong because the actions reinforce each other (TOD-supportive land use + parking reform + demand management + commuter incentives). Applying the initiative soundness rule: it fails SOUND due to aggregate_measurability='No' and no 'strong' sub-actions, but it qualifies as PARTIAL because coverage_score>=0.4, multiple sub-actions are moderate, and deadlines exist across the cluster. Final verdict is True because the initiative is PARTIAL and confidence_score (0.6) meets the >=0.55 threshold.",initiative,init:Pillar 3 | Strategy 2. Increase transit performance and encourage equitable transit-oriented development:sub:2,outputs/policy_pipeline_v4/traces/initiative_parent_sub_traces.jsonl,2.0,Action 2: Expand use of commuter benefits by 2024.,weak,No,Yes,No
13,parent_with_subs,sub,Pillar 3 | Strategy 2. Increase transit performance and encourage equitable transit-oriented development,Transport,Require transportation demand management plans for new development by 2025.,"Pillar 3 Strategy 2: Increase transit performance and encourage equitable transit-oriented development through land use updates, commuter benefits, transportation demand management, and parking requirement updates.",C. Require transportation demandmanagementplans for newdevelopment by 2025,Lettered action with deadline; specifies a regulatory requirement (TDM plans).,sub,2. Increase transit performance and encourage equitable transit-oriented development,,,,,,,,,,,Pillar 3 | Strategy 2. Increase transit performance and encourage equitable transit-oriented development,PARTIAL,0.6,0.75,0.85,No,Yes,No,Yes,0.0,3.0,1.0,True,"This initiative aims to improve transit performance and enable equitable transit-oriented development through four levers: land use policy updates, commuter benefits, mandatory TDM plans for new development, and reforms to parking requirements, each with a 2023–2025 deadline. Sub-action strength mix: 0 strong, 3 moderate (Actions 1, 3, 4) due to concrete policy changes with timelines, and 1 weak (Action 2) because it is not clearly a tangible deliverable and has no scale. The parent header provides a citywide framing (""Update citywide car and bike parking requirements"") and a mobility-network context, but it does not state an ordinance/regulatory authority that would make the whole package clearly binding. Coverage is high because the subs directly correspond to the parent’s listed tools, but the initiative lacks measurable outcome targets, so aggregate measurability is 'No'—progress can be tracked mainly as completion of policy updates rather than transit performance results. Coherence is strong because the actions reinforce each other (TOD-supportive land use + parking reform + demand management + commuter incentives). Applying the initiative soundness rule: it fails SOUND due to aggregate_measurability='No' and no 'strong' sub-actions, but it qualifies as PARTIAL because coverage_score>=0.4, multiple sub-actions are moderate, and deadlines exist across the cluster. Final verdict is True because the initiative is PARTIAL and confidence_score (0.6) meets the >=0.55 threshold.",initiative,init:Pillar 3 | Strategy 2. Increase transit performance and encourage equitable transit-oriented development:sub:3,outputs/policy_pipeline_v4/traces/initiative_parent_sub_traces.jsonl,3.0,Action 3: Require transportation demand management plans for new development by 2025.,moderate,No,Yes,Yes
13,parent_with_subs,sub,Pillar 3 | Strategy 2. Increase transit performance and encourage equitable transit-oriented development,Transport,Update citywide car and bike parking requirements by 2025.,"Pillar 3 Strategy 2: Increase transit performance and encourage equitable transit-oriented development through land use updates, commuter benefits, transportation demand management, and parking requirement updates.",D. Update citywide car and bike parking requirements by 2025,Lettered action with deadline; indicates regulatory update.,sub,2. Increase transit performance and encourage equitable transit-oriented development,,,,,,,,,,,Pillar 3 | Strategy 2. Increase transit performance and encourage equitable transit-oriented development,PARTIAL,0.6,0.75,0.85,No,Yes,No,Yes,0.0,3.0,1.0,True,"This initiative aims to improve transit performance and enable equitable transit-oriented development through four levers: land use policy updates, commuter benefits, mandatory TDM plans for new development, and reforms to parking requirements, each with a 2023–2025 deadline. Sub-action strength mix: 0 strong, 3 moderate (Actions 1, 3, 4) due to concrete policy changes with timelines, and 1 weak (Action 2) because it is not clearly a tangible deliverable and has no scale. The parent header provides a citywide framing (""Update citywide car and bike parking requirements"") and a mobility-network context, but it does not state an ordinance/regulatory authority that would make the whole package clearly binding. Coverage is high because the subs directly correspond to the parent’s listed tools, but the initiative lacks measurable outcome targets, so aggregate measurability is 'No'—progress can be tracked mainly as completion of policy updates rather than transit performance results. Coherence is strong because the actions reinforce each other (TOD-supportive land use + parking reform + demand management + commuter incentives). Applying the initiative soundness rule: it fails SOUND due to aggregate_measurability='No' and no 'strong' sub-actions, but it qualifies as PARTIAL because coverage_score>=0.4, multiple sub-actions are moderate, and deadlines exist across the cluster. Final verdict is True because the initiative is PARTIAL and confidence_score (0.6) meets the >=0.55 threshold.",initiative,init:Pillar 3 | Strategy 2. Increase transit performance and encourage equitable transit-oriented development:sub:4,outputs/policy_pipeline_v4/traces/initiative_parent_sub_traces.jsonl,4.0,Action 4: Update citywide car and bike parking requirements by 2025.,moderate,No,Yes,Yes
14,parent_with_subs,parent,Pillar 3 | Strategy 3. Enable zero-emission transit and fleets,Transport,"Pillar 3 Strategy 3: Enable zero-emission transit and fleets, including ride-hail/taxi electrification, delivery fleet electrification, City fleet electrification, and regional zero-emission transit fleets.",,3. Enable zero- emission transit and fleets | B. Support equitable electrification of ride-hail and taxi fleets by 2030 C. Enable 100% electrification of delivery fleets by 2035 D. Electrify 100%oftheCity's fleetby2035 E. Achieve zero-emission transit fleets across Chicagoland by 2040,"Named strategy with multiple lettered, time-bound electrification actions.",parent,,,,,,,,,,,,Pillar 3 | Strategy 3. Enable zero-emission transit and fleets,PARTIAL,0.6,0.8,0.85,Yes,Yes,No,Yes,1.0,1.0,2.0,True,"1) The initiative aims to transition multiple fleet segments (ride-hail/taxi, delivery, City-owned vehicles, and regional transit) to zero-emission by specified years (2030–2040), including two explicit 100% electrification goals. 2) Strength mix across 4 sub-actions: 1 strong (City fleet 100% by 2035), 1 moderate (delivery fleets 100% by 2035—clear outcome and deadline but vague on the intervention), and 2 weak (ride-hail/taxi and Chicagoland transit—deadline stated but framed as support/achieve without a measurable outcome or concrete instrument). 3) The parent provides a general spatial/institutional framing (fleet types and a regional scope via “across Chicagoland”) but does not provide a binding mechanism (no ordinance/mandate/regulation text), so weaker subs are not lifted into enforceable actions. 4) Coverage is high (0.8) because the listed subs match the parent’s named fleet categories; coherence is also high (0.85) because the subs are distinct and collectively form a portfolio, though the delivery chain is implicit. 5) Applying the initiative soundness rule: aggregate measurability is Yes (multiple deadlines and 100% targets), at least half the subs are strong/moderate (2 of 4), and there is at least one strong sub-action; however, the cluster falls short of SOUND because not enough sub-actions are concrete/mechanism-backed and several are goal statements. Therefore, the initiative is PARTIAL, and final_verdict is True because confidence (0.6) meets the lenient threshold.",initiative,init:Pillar 3 | Strategy 3. Enable zero-emission transit and fleets:parent,outputs/policy_pipeline_v4/traces/initiative_parent_sub_traces.jsonl,,,,,,
14,parent_with_subs,sub,Pillar 3 | Strategy 3. Enable zero-emission transit and fleets,Transport,Support equitable electrification of ride-hail and taxi fleets by 2030.,"Pillar 3 Strategy 3: Enable zero-emission transit and fleets, including ride-hail/taxi electrification, delivery fleet electrification, City fleet electrification, and regional zero-emission transit fleets.",B. Support equitable electrification of ride-hail and taxi fleets by 2030,Lettered action with deadline.,sub,3. Enable zero- emission transit and fleets,,,,,,,,,,,Pillar 3 | Strategy 3. Enable zero-emission transit and fleets,PARTIAL,0.6,0.8,0.85,Yes,Yes,No,Yes,1.0,1.0,2.0,True,"1) The initiative aims to transition multiple fleet segments (ride-hail/taxi, delivery, City-owned vehicles, and regional transit) to zero-emission by specified years (2030–2040), including two explicit 100% electrification goals. 2) Strength mix across 4 sub-actions: 1 strong (City fleet 100% by 2035), 1 moderate (delivery fleets 100% by 2035—clear outcome and deadline but vague on the intervention), and 2 weak (ride-hail/taxi and Chicagoland transit—deadline stated but framed as support/achieve without a measurable outcome or concrete instrument). 3) The parent provides a general spatial/institutional framing (fleet types and a regional scope via “across Chicagoland”) but does not provide a binding mechanism (no ordinance/mandate/regulation text), so weaker subs are not lifted into enforceable actions. 4) Coverage is high (0.8) because the listed subs match the parent’s named fleet categories; coherence is also high (0.85) because the subs are distinct and collectively form a portfolio, though the delivery chain is implicit. 5) Applying the initiative soundness rule: aggregate measurability is Yes (multiple deadlines and 100% targets), at least half the subs are strong/moderate (2 of 4), and there is at least one strong sub-action; however, the cluster falls short of SOUND because not enough sub-actions are concrete/mechanism-backed and several are goal statements. Therefore, the initiative is PARTIAL, and final_verdict is True because confidence (0.6) meets the lenient threshold.",initiative,init:Pillar 3 | Strategy 3. Enable zero-emission transit and fleets:sub:1,outputs/policy_pipeline_v4/traces/initiative_parent_sub_traces.jsonl,1.0,Action 1: Support equitable electrification of ride-hail and taxi fleets by 2030,weak,No,Yes,No
14,parent_with_subs,sub,Pillar 3 | Strategy 3. Enable zero-emission transit and fleets,Transport,Enable 100% electrification of delivery fleets by 2035.,"Pillar 3 Strategy 3: Enable zero-emission transit and fleets, including ride-hail/taxi electrification, delivery fleet electrification, City fleet electrification, and regional zero-emission transit fleets.",C. Enable 100% electrification of delivery fleets by 2035,Lettered action with 100% target and deadline.,sub,3. Enable zero- emission transit and fleets,,,,,,,,,,,Pillar 3 | Strategy 3. Enable zero-emission transit and fleets,PARTIAL,0.6,0.8,0.85,Yes,Yes,No,Yes,1.0,1.0,2.0,True,"1) The initiative aims to transition multiple fleet segments (ride-hail/taxi, delivery, City-owned vehicles, and regional transit) to zero-emission by specified years (2030–2040), including two explicit 100% electrification goals. 2) Strength mix across 4 sub-actions: 1 strong (City fleet 100% by 2035), 1 moderate (delivery fleets 100% by 2035—clear outcome and deadline but vague on the intervention), and 2 weak (ride-hail/taxi and Chicagoland transit—deadline stated but framed as support/achieve without a measurable outcome or concrete instrument). 3) The parent provides a general spatial/institutional framing (fleet types and a regional scope via “across Chicagoland”) but does not provide a binding mechanism (no ordinance/mandate/regulation text), so weaker subs are not lifted into enforceable actions. 4) Coverage is high (0.8) because the listed subs match the parent’s named fleet categories; coherence is also high (0.85) because the subs are distinct and collectively form a portfolio, though the delivery chain is implicit. 5) Applying the initiative soundness rule: aggregate measurability is Yes (multiple deadlines and 100% targets), at least half the subs are strong/moderate (2 of 4), and there is at least one strong sub-action; however, the cluster falls short of SOUND because not enough sub-actions are concrete/mechanism-backed and several are goal statements. Therefore, the initiative is PARTIAL, and final_verdict is True because confidence (0.6) meets the lenient threshold.",initiative,init:Pillar 3 | Strategy 3. Enable zero-emission transit and fleets:sub:2,outputs/policy_pipeline_v4/traces/initiative_parent_sub_traces.jsonl,2.0,Action 2: Enable 100% electrification of delivery fleets by 2035,moderate,Yes,Yes,No
14,parent_with_subs,sub,Pillar 3 | Strategy 3. Enable zero-emission transit and fleets,Transport,Electrify 100% of the City's fleet by 2035.,"Pillar 3 Strategy 3: Enable zero-emission transit and fleets, including ride-hail/taxi electrification, delivery fleet electrification, City fleet electrification, and regional zero-emission transit fleets.",D. Electrify 100%oftheCity's fleetby2035,Lettered action with 100% target and deadline.,sub,3. Enable zero- emission transit and fleets,,,,,,,,,,,Pillar 3 | Strategy 3. Enable zero-emission transit and fleets,PARTIAL,0.6,0.8,0.85,Yes,Yes,No,Yes,1.0,1.0,2.0,True,"1) The initiative aims to transition multiple fleet segments (ride-hail/taxi, delivery, City-owned vehicles, and regional transit) to zero-emission by specified years (2030–2040), including two explicit 100% electrification goals. 2) Strength mix across 4 sub-actions: 1 strong (City fleet 100% by 2035), 1 moderate (delivery fleets 100% by 2035—clear outcome and deadline but vague on the intervention), and 2 weak (ride-hail/taxi and Chicagoland transit—deadline stated but framed as support/achieve without a measurable outcome or concrete instrument). 3) The parent provides a general spatial/institutional framing (fleet types and a regional scope via “across Chicagoland”) but does not provide a binding mechanism (no ordinance/mandate/regulation text), so weaker subs are not lifted into enforceable actions. 4) Coverage is high (0.8) because the listed subs match the parent’s named fleet categories; coherence is also high (0.85) because the subs are distinct and collectively form a portfolio, though the delivery chain is implicit. 5) Applying the initiative soundness rule: aggregate measurability is Yes (multiple deadlines and 100% targets), at least half the subs are strong/moderate (2 of 4), and there is at least one strong sub-action; however, the cluster falls short of SOUND because not enough sub-actions are concrete/mechanism-backed and several are goal statements. Therefore, the initiative is PARTIAL, and final_verdict is True because confidence (0.6) meets the lenient threshold.",initiative,init:Pillar 3 | Strategy 3. Enable zero-emission transit and fleets:sub:3,outputs/policy_pipeline_v4/traces/initiative_parent_sub_traces.jsonl,3.0,Action 3: Electrify 100% of the City's fleet by 2035,strong,Yes,Yes,Yes
14,parent_with_subs,sub,Pillar 3 | Strategy 3. Enable zero-emission transit and fleets,Transport,Achieve zero-emission transit fleets across Chicagoland by 2040.,"Pillar 3 Strategy 3: Enable zero-emission transit and fleets, including ride-hail/taxi electrification, delivery fleet electrification, City fleet electrification, and regional zero-emission transit fleets.",E. Achieve zero-emission transit fleets across Chicagoland by 2040,Lettered action with deadline.,sub,3. Enable zero- emission transit and fleets,,,,,,,,,,,Pillar 3 | Strategy 3. Enable zero-emission transit and fleets,PARTIAL,0.6,0.8,0.85,Yes,Yes,No,Yes,1.0,1.0,2.0,True,"1) The initiative aims to transition multiple fleet segments (ride-hail/taxi, delivery, City-owned vehicles, and regional transit) to zero-emission by specified years (2030–2040), including two explicit 100% electrification goals. 2) Strength mix across 4 sub-actions: 1 strong (City fleet 100% by 2035), 1 moderate (delivery fleets 100% by 2035—clear outcome and deadline but vague on the intervention), and 2 weak (ride-hail/taxi and Chicagoland transit—deadline stated but framed as support/achieve without a measurable outcome or concrete instrument). 3) The parent provides a general spatial/institutional framing (fleet types and a regional scope via “across Chicagoland”) but does not provide a binding mechanism (no ordinance/mandate/regulation text), so weaker subs are not lifted into enforceable actions. 4) Coverage is high (0.8) because the listed subs match the parent’s named fleet categories; coherence is also high (0.85) because the subs are distinct and collectively form a portfolio, though the delivery chain is implicit. 5) Applying the initiative soundness rule: aggregate measurability is Yes (multiple deadlines and 100% targets), at least half the subs are strong/moderate (2 of 4), and there is at least one strong sub-action; however, the cluster falls short of SOUND because not enough sub-actions are concrete/mechanism-backed and several are goal statements. Therefore, the initiative is PARTIAL, and final_verdict is True because confidence (0.6) meets the lenient threshold.",initiative,init:Pillar 3 | Strategy 3. Enable zero-emission transit and fleets:sub:4,outputs/policy_pipeline_v4/traces/initiative_parent_sub_traces.jsonl,4.0,Action 4: Achieve zero-emission transit fleets across Chicagoland by 2040,weak,No,Yes,No
