cluster_id,cluster_type,role,section_header,sector,policy_statement,parent_statement,verbatim_text,extraction_rationale,policy_type,parent_policy_name
22,parent_with_subs,parent,Pillar 5 | Strategy 2. Enable data-driven decision-making,Cross-sector,Pillar 5 Strategy 2: Enable data-driven decision-making through publishing just transition metrics; integrating resilience and climate justice criteria into departmental planning and budgets; developing a Heat Vulnerability Index; publishing quality-of-life metrics; and optimizing emergency management strategies.,,"5 | 2. Enable data-driven decision-making | A. Publish clean energy just transition metrics by 2022 B. Integrate community resilience and climate justice criteria into department-level strategic planning and annual budget setting by 2023 C. Develop a Heat Vulnerability Index and integrate into planning and development, community safety, and public health planning processes beginning in 2023 D. Publish citywide and community-level quality-of-life metrics on equity and sustainability by 2023 E. Assess and optimize community-level emergency management strategies related to climate preparedness by 2024","Named strategy with multiple lettered, time-bound actions.",parent,
22,parent_with_subs,sub,Pillar 5 | Strategy 2. Enable data-driven decision-making,Cross-sector,Publish clean energy just transition metrics by 2022.,Pillar 5 Strategy 2: Enable data-driven decision-making through publishing just transition metrics; integrating resilience and climate justice criteria into departmental planning and budgets; developing a Heat Vulnerability Index; publishing quality-of-life metrics; and optimizing emergency management strategies.,A. Publish clean energy just transition metrics by 2022,Lettered action with explicit deadline.,sub,2. Enable data-driven decision-making
22,parent_with_subs,sub,Pillar 5 | Strategy 2. Enable data-driven decision-making,Cross-sector,Integrate community resilience and climate justice criteria into department-level strategic planning and annual budget setting by 2023.,Pillar 5 Strategy 2: Enable data-driven decision-making through publishing just transition metrics; integrating resilience and climate justice criteria into departmental planning and budgets; developing a Heat Vulnerability Index; publishing quality-of-life metrics; and optimizing emergency management strategies.,B. Integrate community resilience and climate justice criteria into department-level strategic planning and annual budget setting by 2023,Lettered action with deadline; specifies integration into planning/budget processes.,sub,2. Enable data-driven decision-making
22,parent_with_subs,sub,Pillar 5 | Strategy 2. Enable data-driven decision-making,Cross-sector,"Develop a Heat Vulnerability Index and integrate it into planning and development, community safety, and public health planning processes beginning in 2023.",Pillar 5 Strategy 2: Enable data-driven decision-making through publishing just transition metrics; integrating resilience and climate justice criteria into departmental planning and budgets; developing a Heat Vulnerability Index; publishing quality-of-life metrics; and optimizing emergency management strategies.,"C. Develop a Heat Vulnerability Index and integrate into planning and development, community safety, and public health planning processes beginning in 2023",Lettered action with start date and defined tool (Heat Vulnerability Index).,sub,2. Enable data-driven decision-making
22,parent_with_subs,sub,Pillar 5 | Strategy 2. Enable data-driven decision-making,Cross-sector,"Publish citywide and community-level quality-of-life metrics on equity and sustainability by 2023, reported every year.",Pillar 5 Strategy 2: Enable data-driven decision-making through publishing just transition metrics; integrating resilience and climate justice criteria into departmental planning and budgets; developing a Heat Vulnerability Index; publishing quality-of-life metrics; and optimizing emergency management strategies.,"D. Publish citywide and community-level quality-of-life metrics on equity and sustainability by 2023

These metrics will be measured and publicly reported every year.",Lettered action with deadline plus explicit commitment to annual public reporting.,sub,2. Enable data-driven decision-making
22,parent_with_subs,sub,Pillar 5 | Strategy 2. Enable data-driven decision-making,Cross-sector,Assess and optimize community-level emergency management strategies related to climate preparedness by 2024.,Pillar 5 Strategy 2: Enable data-driven decision-making through publishing just transition metrics; integrating resilience and climate justice criteria into departmental planning and budgets; developing a Heat Vulnerability Index; publishing quality-of-life metrics; and optimizing emergency management strategies.,E. Assess and optimize community-level emergency management strategies related to climate preparedness by 2024,Lettered action with explicit deadline.,sub,2. Enable data-driven decision-making
23,parent_with_subs,parent,Pillar 5 | Strategy 3. Enable community resiliency,Adaptation,Pillar 5 Strategy 3: Enable community resiliency by resourcing community-led climate infrastructure projects and integrating community resiliency strategies with the City's hazard mitigation planning.,,5 | 3. Enable community resiliency | A. Resource community-led climate infrastructure projects by 2022 B. Integrate community resiliency strategies with the City's hazard mitigation planning by 2023,"Named strategy with lettered, time-bound actions.",parent,
23,parent_with_subs,sub,Pillar 5 | Strategy 3. Enable community resiliency,Adaptation,Resource community-led climate infrastructure projects by 2022.,Pillar 5 Strategy 3: Enable community resiliency by resourcing community-led climate infrastructure projects and integrating community resiliency strategies with the City's hazard mitigation planning.,A. Resource community-led climate infrastructure projects by 2022,Lettered action with explicit deadline.,sub,3. Enable community resiliency
23,parent_with_subs,sub,Pillar 5 | Strategy 3. Enable community resiliency,Adaptation,Integrate community resiliency strategies with the City's hazard mitigation planning by 2023.,Pillar 5 Strategy 3: Enable community resiliency by resourcing community-led climate infrastructure projects and integrating community resiliency strategies with the City's hazard mitigation planning.,B. Integrate community resiliency strategies with the City's hazard mitigation planning by 2023,Lettered action with explicit deadline.,sub,3. Enable community resiliency
24,individual,individual,ACCOUNTABILITY AND IMPLEMENTATION,Cross-sector,Support a 3-year review and revision cycle of the 2022 Climate Action Plan targets.,,"Our strategy will include:

- Supporting a 3-year review and revision cycle of the 2022 CAP targets",Concrete governance/implementation commitment (review cycle cadence).,individual,
